id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
15151	0	0	0	4	4	0	4	0	0
15221	0	0	24	26	2	0	26	24	24
15152	0	19	51	123	30	0	104	74	32
15186	0	0	4	124	22	7	124	102	4
15258	0	91	124	131	7	0	40	33	33
15222	0	97	131	132	1	0	35	34	34
15291	0	0	46	187	40	6	187	147	46
15292	0	151	189	208	19	0	57	38	38
15256	0	0	26	212	52	8	212	160	26
15260	0	233	235	237	2	0	4	2	2
15259	0	151	187	252	37	7	101	64	36
15257	0	34	72	280	53	67	246	193	38
15153	0	255	255	417	40	19	162	122	0
15187	0	296	320	438	47	0	142	95	24
15261	0	296	340	471	36	8	175	139	44
15223	0	255	261	507	72	33	252	180	6
15154	0	479	541	657	9	18	178	169	62
15264	0	467	527	796	54	17	329	275	60
15157	0	639	796	815	19	0	176	157	157
15224	0	488	545	820	10	29	332	322	57
15155	0	562	632	829	29	0	267	238	70
15156	0	581	677	858	35	0	277	242	96
15265	0	513	587	909	48	10	396	348	74
15293	0	611	736	916	27	0	305	278	125
15262	0	403	438	923	69	5	520	451	35
15227	0	786	923	927	4	0	141	137	137
15268	0	853	967	981	14	0	128	114	114
15263	0	410	471	983	63	13	573	510	61
15189	0	666	838	1000	21	17	334	313	172
15266	0	700	858	1002	14	3	302	288	158
15188	0	497	567	1017	66	0	520	454	70
15228	0	910	1028	1033	5	0	123	118	118
15229	0	967	1099	1111	12	0	144	132	132
15225	0	664	836	1124	35	6	460	425	172
15158	0	663	829	1133	16	139	470	454	166
15267	0	842	927	1217	26	5	375	349	85
15296	0	1145	1277	1278	1	0	133	132	132
15226	0	717	870	1283	44	36	566	522	153
15160	0	929	1033	1301	32	5	372	340	104
15270	0	1056	1182	1307	9	2	251	242	126
15269	0	938	1053	1329	24	1	391	367	115
15159	0	910	1017	1337	36	50	427	391	107
15271	0	1216	1337	1351	14	0	135	121	121
15294	0	943	1073	1365	27	21	422	395	130
15161	0	953	1079	1408	35	1	455	420	126
15163	0	1112	1266	1419	8	1	307	299	154
15190	0	1043	1153	1459	37	1	416	379	110
15164	0	1144	1273	1479	16	20	335	319	129
15195	0	1298	1479	1497	18	0	199	181	181
15295	0	1046	1173	1505	33	20	459	426	127
15191	0	1237	1365	1522	24	0	285	261	128
15192	0	1244	1386	1556	34	6	312	278	142
15162	0	1087	1217	1563	28	30	476	448	130
15231	0	1270	1408	1568	15	2	298	283	138
15193	0	1281	1419	1608	13	28	327	314	138
15298	0	1392	1522	1663	31	0	271	240	130
15297	0	1377	1505	1678	28	27	301	273	128
15194	0	1291	1430	1710	55	6	419	364	139
15196	0	1517	1632	1750	25	0	233	208	115
15232	0	1323	1497	1752	8	42	429	421	174
15199	0	1700	1761	1772	11	0	72	61	61
15272	0	1650	1725	1890	32	0	240	208	75
15197	0	1548	1678	1908	22	8	360	338	130
15200	0	1701	1772	1909	18	7	208	190	71
15274	0	1741	1861	1975	33	5	234	201	120
15299	0	1425	1568	1981	57	24	556	499	143
15233	0	1717	1809	2010	22	44	293	271	92
15198	0	1606	1692	2012	31	39	406	375	86
15230	0	1098	1237	2017	88	46	919	831	139
15234	0	1874	1955	2028	15	8	154	139	81
15201	0	1971	2035	2041	6	0	70	64	64
15273	0	1724	1813	2059	39	50	335	296	89
15275	0	2043	2081	2084	3	0	41	38	38
15202	0	2141	2189	2194	5	0	53	48	48
15165	0	1760	1890	2204	54	22	444	390	130
15300	0	1943	1981	2214	51	2	271	220	38
15166	0	2192	2234	2254	20	0	62	42	42
15304	0	2097	2168	2256	7	19	159	152	71
15302	0	1978	2041	2260	28	39	282	254	63
15303	0	1990	2059	2293	60	6	303	243	69
15305	0	2260	2313	2322	9	0	62	53	53
15301	0	1970	2028	2354	50	68	384	334	58
15204	0	2296	2362	2380	18	0	84	66	66
15167	0	2223	2260	2396	23	29	173	150	37
15235	0	2321	2400	2404	4	0	83	79	79
15306	0	2266	2322	2417	22	10	151	129	56
15169	0	2279	2354	2475	16	8	196	180	75
