id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
22326	0	0	0	4	4	0	4	0	0
22412	0	0	25	27	2	0	27	25	25
22327	0	19	60	90	30	0	71	41	41
22369	0	0	4	91	22	7	91	69	4
22455	0	0	27	128	52	8	128	76	27
22498	0	0	55	163	40	6	163	123	55
22457	0	91	163	170	7	0	79	72	72
22413	0	97	170	171	1	0	74	73	73
22499	0	151	196	215	19	0	64	45	45
22458	0	151	194	250	37	7	99	62	43
22459	0	233	250	252	2	0	19	17	17
22456	0	34	91	269	53	67	235	182	57
22370	0	296	361	408	47	0	112	65	65
22328	0	255	269	419	40	19	164	124	14
22414	0	255	275	435	72	33	180	108	20
22460	0	296	408	571	36	8	275	239	112
22461	0	403	435	616	69	5	213	144	32
22371	0	497	618	684	66	0	187	121	121
22462	0	410	477	725	63	13	315	252	67
22330	0	562	725	754	29	0	192	163	163
22331	0	581	754	789	35	0	208	173	173
22463	0	467	571	829	54	17	362	308	104
22329	0	479	585	834	9	18	355	346	106
22500	0	611	834	861	27	0	250	223	223
22332	0	639	864	883	19	0	244	225	225
22464	0	513	684	927	48	10	414	366	171
22418	0	786	927	931	4	0	145	141	141
22467	0	853	956	970	14	0	117	103	103
22415	0	488	616	975	10	29	487	477	128
22416	0	664	890	1008	35	6	344	309	226
22419	0	910	1019	1024	5	0	114	109	109
22465	0	700	896	1026	14	3	326	312	196
22372	0	666	892	1043	21	17	377	356	226
22466	0	842	931	1131	26	5	289	263	89
22420	0	967	1131	1143	12	0	176	164	164
22333	0	663	883	1152	16	139	489	473	220
22335	0	929	1043	1217	32	5	288	256	114
22468	0	938	1074	1240	24	1	302	278	136
22417	0	717	908	1281	44	36	564	520	191
22336	0	953	1097	1302	35	1	349	314	144
22503	0	1145	1306	1307	1	0	162	161	161
22373	0	1043	1152	1316	37	1	273	236	109
22469	0	1056	1187	1322	9	2	266	257	131
22502	0	1046	1180	1348	33	20	302	269	134
22470	0	1216	1348	1362	14	0	146	132	132
22334	0	910	1008	1370	36	50	460	424	98
22374	0	1237	1370	1394	24	0	157	133	133
22337	0	1087	1217	1421	28	30	334	306	130
22378	0	1298	1488	1506	18	0	208	190	190
22338	0	1112	1293	1507	8	1	395	387	181
22501	0	943	1096	1521	27	21	578	551	153
22339	0	1144	1302	1535	16	20	391	375	158
22505	0	1392	1548	1579	31	0	187	156	156
22375	0	1244	1394	1593	34	6	349	315	150
22422	0	1270	1421	1625	15	2	355	340	151
22376	0	1281	1431	1627	13	28	346	333	150
22377	0	1291	1442	1644	55	6	353	298	151
22379	0	1517	1679	1704	25	0	187	162	162
22504	0	1377	1535	1730	28	27	353	325	158
22471	0	1650	1756	1788	32	0	138	106	106
22382	0	1700	1812	1823	11	0	123	112	112
22423	0	1323	1521	1883	8	42	560	552	198
22506	0	1425	1593	1925	57	24	500	443	168
22421	0	1098	1240	1930	88	46	832	744	142
22383	0	1701	1823	1931	18	7	230	212	122
22380	0	1548	1708	1937	22	8	389	367	160
22473	0	1741	1883	1966	33	5	225	192	142
22381	0	1606	1730	1989	31	39	383	352	124
22472	0	1724	1853	2000	39	50	276	237	129
22425	0	1874	1946	2032	15	8	158	143	72
22384	0	1971	2039	2045	6	0	74	68	68
22424	0	1717	1840	2054	22	44	337	315	123
22507	0	1943	2000	2123	51	2	180	129	57
22474	0	2043	2123	2126	3	0	83	80	80
22340	0	1760	1900	2179	54	22	419	365	140
22385	0	2141	2206	2211	5	0	70	65	65
22341	0	2192	2215	2235	20	0	43	23	23
22510	0	1990	2092	2281	60	6	291	231	102
22511	0	2097	2201	2290	7	19	193	186	104
22509	0	1978	2054	2294	28	39	316	288	76
22508	0	1970	2032	2322	50	68	352	302	62
22512	0	2260	2322	2331	9	0	71	62	62
22387	0	2296	2367	2385	18	0	89	71	71
22342	0	2223	2281	2401	23	29	178	155	58
22426	0	2321	2401	2405	4	0	84	80	80
22513	0	2266	2331	2423	22	10	157	135	65
22343	0	2274	2358	2471	39	9	197	158	84
22514	0	2273	2340	2507	54	17	234	180	67
22344	0	2279	2359	2515	16	8	236	220	80
22345	0	2448	2590	2609	19	0	161	142	142
22517	0	2526	2688	2707	19	0	181	162	162
22475	0	2386	2515	2734	22	7	348	326	129
22476	0	2396	2524	2735	2	10	339	337	128
22518	0	2600	2763	2815	52	0	215	163	163
22388	0	2362	2423	2818	47	25	456	409	61
22515	0	2462	2609	2829	49	3	367	318	147
22390	0	2676	2829	2860	31	0	184	153	153
22478	0	2713	2877	2883	6	0	170	164	164
22389	0	2531	2707	2907	18	2	376	358	176
22427	0	2741	2911	2914	3	0	173	170	170
22346	0	2558	2744	2916	5	2	358	353	186
22520	0	2792	2958	2985	27	0	193	166	166
22348	0	2849	2985	2995	10	0	146	136	136
22516	0	2495	2647	3003	66	11	508	442	152
22347	0	2724	2907	3006	4	5	282	278	183
22391	0	2734	2908	3027	24	12	293	269	174
22519	0	2785	2933	3159	83	27	374	291	148
22386	0	2241	2294	3187	99	59	946	847	53
22480	0	2981	3187	3204	17	0	223	206	206
22430	0	2982	3204	3229	25	0	247	222	222
22477	0	2436	2536	3233	57	109	797	740	100
22479	0	2716	2883	3286	67	39	570	503	167
22428	0	2938	3045	3320	45	4	382	337	107
22432	0	3218	3434	3484	50	0	266	216	216
22481	0	3066	3286	3494	15	14	428	413	220
22522	0	3309	3527	3544	17	0	235	218	218
22392	0	3084	3320	3546	18	3	462	444	236
22351	0	3367	3565	3570	5	0	203	198	198
22429	0	2957	3064	3572	50	44	615	565	107
22395	0	3435	3643	3651	8	0	216	208	208
22482	0	3185	3425	3660	18	3	475	457	240
22521	0	3107	3402	3666	29	16	559	530	295
22435	0	3485	3694	3699	5	0	214	209	209
22352	0	3533	3733	3745	12	0	212	200	200
22436	0	3552	3746	3755	9	0	203	194	194
22393	0	3309	3494	3788	66	28	479	413	185
22394	0	3341	3546	3789	7	9	448	441	205
22431	0	3051	3233	3802	50	109	751	701	182
22525	0	3620	3850	3855	5	0	235	230	230
22483	0	3432	3627	3898	33	3	466	433	195
22433	0	3413	3592	3914	51	30	501	450	179
22484	0	3454	3666	3997	26	10	543	517	212
22434	0	3461	3673	4014	38	19	553	515	212
22523	0	3497	3699	4018	7	26	521	514	202
22350	0	3228	3484	4057	15	61	829	814	256
22396	0	3525	3705	4092	57	39	567	510	180
22349	0	3102	3369	4202	89	27	1100	1011	267
22353	0	3611	3848	4212	4	4	601	597	237
22488	0	3958	4299	4300	1	0	342	341	341
22398	0	3733	4029	4332	23	5	599	576	296
22439	0	3731	4018	4349	23	26	618	595	287
22485	0	3741	4038	4359	20	8	618	598	297
22399	0	4114	4372	4373	1	0	259	258	258
22354	0	3797	4092	4396	56	10	599	543	295
22524	0	3605	3831	4454	29	31	849	820	226
22487	0	3854	4202	4476	13	69	622	609	348
22526	0	3626	3855	4502	77	67	876	799	229
22442	0	4291	4502	4550	48	0	259	211	211
22530	0	4330	4586	4623	37	0	293	256	256
22527	0	3678	3970	4637	38	72	959	921	292
22441	0	4086	4368	4701	34	2	615	581	282
22443	0	4383	4701	4705	4	0	322	318	318
22445	0	4397	4714	4722	8	0	325	317	317
22531	0	4400	4722	4749	27	0	349	322	322
